14750,0,0,5,0,1,6,17,30,26,15,1,6,17,30,26,15,1,6,16,30,26,15,1,6,16,30,26,15,15,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,3,1,46,6
14751,0,0,7,0,1,4,17,30,26,15,1,4,17,30,26,15,1,4,18,30,26,15,1,1,16,30,26,15,14,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,3,1,46,11
14752,216,106,6,0,1,1,12,30,26,15,1,1,12,30,26,15,1,1,11,30,26,15,1,1,12,30,26,15,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,3,1,41,1
14753,0,0,1,12,91,20,22,1,13,3,89,19,21,1,13,3,96,20,23,1,13,3,97,32,22,0,7,5,89,0,111,0,0,116,0,0,0,0,0,0,108,0,122,0,0,120,0,0,0,0,0,0,10,4,184,50,121
14754,131,104,3,0,1,1,14,30,13,15,1,1,13,30,13,15,1,1,16,30,13,15,1,1,14,30,13,15,13,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,2,1,43,1
14755,180,105,3,0,1,2,16,30,13,15,1,2,16,30,13,15,1,2,15,30,13,15,1,1,15,30,13,15,13,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,3,1,45,1
14756,160,105,1,11,61,12,26,0,7,4,60,12,26,0,7,4,62,12,27,0,7,4,103,52,73,0,7,5,102,0,96,0,0,65,0,0,0,0,0,0,128,0,146,0,0,119,0,0,0,0,0,0,10,3,118,51,22
14757,4,-100,9,0,1,1,15,30,13,15,1,1,16,30,13,15,1,1,15,30,13,15,1,1,15,30,13,15,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,3,1,45,1
14758,216,106,2,0,1,1,15,30,26,15,1,1,16,30,26,15,1,1,15,30,26,15,1,1,15,30,26,15,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,3,1,45,1
14759,0,0,1,12,67,12,19,1,19,6,63,12,18,1,19,6,77,13,22,1,19,6,86,68,21,0,9,5,80,99,0,0,0,25,0,0,0,0,0,0,106,113,0,0,0,20,0,0,0,0,0,0,7,3,112,42,168
