league_id,sub_league_id,year,best_hitter_id,best_pitcher_id,best_rookie_id,best_manager_id,best_fielder_id0,best_fielder_id1,best_fielder_id2,best_fielder_id3,best_fielder_id4,best_fielder_id5,best_fielder_id6,best_fielder_id7,best_fielder_id8,best_fielder_id9
100,0,2018,565,501,520,0,0,95,149,565,425,287,288,157,607,473
100,1,2018,1282,1086,1095,0,0,1218,1048,780,750,1097,1233,700,1012,699
100,0,2019,340,501,11140,0,0,414,103,240,1860,107,288,70,382,473
100,1,2019,1281,11138,11138,0,0,1218,149,565,425,795,828,700,1012,699
100,0,2020,243,501,11210,0,0,2837,509,240,1860,107,2096,1763,114,2831
100,1,2020,1282,544,12508,0,0,1218,103,1292,2021,1097,9313,1328,1012,878
100,0,2021,114,51,8795,0,0,2837,103,887,423,107,2174,2831,114,473
100,1,2021,1185,11138,4834,0,0,946,1048,690,2021,1097,9313,300,1012,878
100,0,2022,68,501,9041,0,0,410,103,690,423,110,2021,2831,652,9041
100,1,2022,563,1218,8867,0,0,946,1883,12504,247,1097,9313,876,1427,878
100,0,2023,107,501,3010,0,0,410,8733,690,3318,8962,2021,2831,652,203
100,1,2023,1233,814,11238,0,0,946,1883,1547,247,9387,694,876,160,878
100,0,2024,1218,1218,10334,0,0,946,8733,240,9509,9482,2021,924,7890,203
100,1,2024,4199,1002,5261,0,0,183,5500,2464,9170,9387,694,876,160,7815
100,0,2025,14785,1218,14785,0,0,10187,8359,240,9509,6787,2021,14785,8440,203
100,1,2025,1098,497,7716,0,0,183,5500,1095,9170,6092,694,10947,11016,248
100,0,2026,14785,946,9708,0,0,10187,8359,240,9509,6787,2021,7540,13699,6666
100,1,2026,13568,1171,8366,0,0,183,7933,1095,9170,6092,1942,12392,11016,25
100,0,2027,9708,497,11742,0,0,1358,8359,6785,9509,9063,5717,21841,13699,6166
100,1,2027,6711,1171,17991,0,0,9517,11031,2354,12386,107,6813,11129,11016,12380
100,0,2028,9708,9829,17872,0,0,9022,17994,11807,9509,6387,14341,9290,13699,12435
100,1,2028,6592,10291,15061,0,0,9843,11031,690,12386,107,19042,11129,15066,3896
100,0,2029,13699,9829,19307,0,0,14910,14922,11807,10169,7287,14341,9290,13699,12435
100,1,2029,6592,9461,14901,0,0,9843,11015,1095,12386,107,12387,13777,7740,12204
100,0,2030,9708,9829,17724,0,0,8897,14922,7667,10169,15970,12387,17820,13699,12435
100,1,2030,6592,6275,20506,0,0,11048,11015,8185,15651,107,12765,15066,17553,12204
100,0,2031,13699,18794,15224,0,0,1717,14922,1233,16481,15970,17008,17820,13699,17337
100,1,2031,20506,6275,16735,0,0,11048,12235,4137,20506,13992,12765,16685,17553,12204
100,0,2032,13699,14381,23159,0,0,9775,14922,23159,19857,15970,17008,17820,13699,18605
100,1,2032,6592,9755,18476,0,0,21842,11015,4137,20506,16960,12765,14002,17553,12204
100,0,2033,15748,14318,22616,0,0,19281,14922,23159,19857,15970,17008,17820,15427,17968
100,1,2033,6592,19147,18235,0,0,21842,14916,4137,20506,17092,12765,12720,17553,12780
100,0,2034,17093,22627,18827,0,0,15028,14916,17586,19857,17267,17008,17820,20709,17968
100,1,2034,6592,9843,20962,0,0,21962,14922,12735,20366,17092,12765,12720,18235,16645
101,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,2034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,2034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,2034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,2034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
