team_id,year,league_id,sub_league_id,division_id,name,abbr,nickname,best_hitter_id,best_pitcher_id,best_rookie_id,manager_id,made_playoffs,won_playoffs,fired,position_in_division
1,2018,100,0,2,"Las Vegas","LV","Privateers",471,1358,1358,0,0,0,0,5
1,2019,100,0,2,"Las Vegas","LV","Privateers",473,456,1360,0,0,0,0,4
1,2020,100,0,2,"Las Vegas","LV","Privateers",471,455,2227,0,0,0,0,3
1,2021,100,0,2,"Las Vegas","LV","Privateers",473,1353,2227,0,0,0,0,5
1,2022,100,0,2,"Las Vegas","LV","Privateers",5509,4320,4039,0,0,0,0,4
1,2023,100,0,2,"Las Vegas","LV","Privateers",3525,455,5888,0,0,0,0,4
1,2024,100,0,2,"Las Vegas","LV","Privateers",10169,1353,10146,0,0,0,0,5
1,2025,100,0,2,"Las Vegas","LV","Privateers",12513,10176,5588,0,0,0,0,2
1,2026,100,0,2,"Las Vegas","LV","Privateers",3525,8875,10759,0,0,0,0,5
1,2027,100,0,2,"Las Vegas","LV","Privateers",9522,8875,6874,0,0,0,0,5
1,2028,100,0,2,"Las Vegas","LV","Privateers",12513,4754,13392,0,0,0,0,3
1,2029,100,0,2,"Las Vegas","LV","Privateers",12672,19886,13392,0,0,0,0,3
1,2030,100,0,2,"Las Vegas","LV","Privateers",12672,11719,13083,0,0,0,0,2
1,2031,100,0,2,"Las Vegas","LV","Privateers",7489,11719,20112,0,1,0,0,1
1,2032,100,0,2,"Las Vegas","LV","Privateers",15224,3304,18309,0,1,0,0,1
1,2033,100,0,2,"Las Vegas","LV","Privateers",15224,11719,15850,0,0,0,0,5
1,2034,100,0,2,"Las Vegas","LV","Privateers",15224,11719,18903,0,0,0,0,3
2,2018,100,0,0,"Houston","HOU","Hawks",203,183,2867,0,1,0,0,2
2,2019,100,0,0,"Houston","HOU","Hawks",11139,183,11139,0,0,0,0,5
2,2020,100,0,0,"Houston","HOU","Hawks",380,183,2872,0,1,0,0,1
2,2021,100,0,0,"Houston","HOU","Hawks",202,185,2871,0,0,0,0,4
2,2022,100,0,0,"Houston","HOU","Hawks",976,3986,3986,0,0,0,0,4
2,2023,100,0,0,"Houston","HOU","Hawks",8440,1457,6734,0,0,0,0,3
2,2024,100,0,0,"Houston","HOU","Hawks",8440,949,8234,0,0,0,0,3
2,2025,100,0,0,"Houston","HOU","Hawks",5545,949,6372,0,1,0,0,2
2,2026,100,0,0,"Houston","HOU","Hawks",8440,949,6716,0,0,0,0,4
2,2027,100,0,0,"Houston","HOU","Hawks",8440,6535,13089,0,0,0,0,4
2,2028,100,0,0,"Houston","HOU","Hawks",8440,19173,16550,0,0,0,0,4
2,2029,100,0,0,"Houston","HOU","Hawks",19307,9551,16550,0,0,0,0,4
2,2030,100,0,0,"Houston","HOU","Hawks",17968,10291,12828,0,0,0,0,5
2,2031,100,0,0,"Houston","HOU","Hawks",17968,16180,13749,0,0,0,0,3
2,2032,100,0,0,"Houston","HOU","Hawks",17968,16180,18987,0,0,0,0,4
2,2033,100,0,0,"Houston","HOU","Hawks",17968,17889,19692,0,0,0,0,5
2,2034,100,0,0,"Houston","HOU","Hawks",17968,18987,19838,0,0,0,0,2
3,2018,100,0,2,"Long Beach","LB","Horsemen",565,544,2680,0,0,0,0,2
3,2019,100,0,2,"Long Beach","LB","Horsemen",563,575,2701,0,0,0,0,3
3,2020,100,0,2,"Long Beach","LB","Horsemen",563,860,12505,0,0,0,0,4
3,2021,100,0,2,"Long Beach","LB","Horsemen",922,12505,3333,0,0,0,0,2
3,2022,100,0,2,"Long Beach","LB","Horsemen",922,12505,6336,0,0,0,0,3
3,2023,100,0,2,"Long Beach","LB","Horsemen",922,3329,7147,0,0,0,0,5
3,2024,100,0,2,"Long Beach","LB","Horsemen",10334,12505,11013,0,0,0,0,3
3,2025,100,0,2,"Long Beach","LB","Horsemen",5613,1358,7913,0,0,0,0,5
3,2026,100,0,2,"Long Beach","LB","Horsemen",13584,136,7013,0,1,0,0,2
3,2027,100,0,2,"Long Beach","LB","Horsemen",13584,8897,5263,0,0,0,0,4
3,2028,100,0,2,"Long Beach","LB","Horsemen",13584,9272,12746,0,0,0,0,5
3,2029,100,0,2,"Long Beach","LB","Horsemen",13584,12366,19296,0,0,0,0,2
3,2030,100,0,2,"Long Beach","LB","Horsemen",12387,815,2653,0,0,0,0,3
3,2031,100,0,2,"Long Beach","LB","Horsemen",13584,1353,17253,0,0,0,0,4
3,2032,100,0,2,"Long Beach","LB","Horsemen",21948,16618,17253,0,0,0,0,3
3,2033,100,0,2,"Long Beach","LB","Horsemen",11851,18231,19633,0,0,0,0,3
3,2034,100,0,2,"Long Beach","LB","Horsemen",21948,18231,20334,0,0,0,0,2
4,2018,100,0,0,"Memphis","MEM","Black Knights",160,140,2633,0,1,0,0,1
4,2019,100,0,0,"Memphis","MEM","Black Knights",160,140,151,0,1,0,0,2
4,2020,100,0,0,"Memphis","MEM","Black Knights",606,140,3012,0,0,0,0,3
4,2021,100,0,0,"Memphis","MEM","Black Knights",606,140,5555,0,1,0,0,3
4,2022,100,0,0,"Memphis","MEM","Black Knights",213,140,67,0,0,0,0,3
4,2023,100,0,0,"Memphis","MEM","Black Knights",606,11137,6535,0,0,0,0,4
4,2024,100,0,0,"Memphis","MEM","Black Knights",606,10314,4005,0,0,0,0,5
4,2025,100,0,0,"Memphis","MEM","Black Knights",606,2992,10055,0,0,0,0,4
4,2026,100,0,0,"Memphis","MEM","Black Knights",606,14381,8655,0,0,0,0,3
4,2027,100,0,0,"Memphis","MEM","Black Knights",5985,14381,17975,0,1,0,0,2
4,2028,100,0,0,"Memphis","MEM","Black Knights",15970,14381,13792,0,0,0,0,3
4,2029,100,0,0,"Memphis","MEM","Black Knights",15970,1306,13792,0,1,0,0,2
4,2030,100,0,0,"Memphis","MEM","Black Knights",7741,1306,13453,0,0,0,0,3
4,2031,100,0,0,"Memphis","MEM","Black Knights",15970,17975,14168,0,0,0,0,4
4,2032,100,0,0,"Memphis","MEM","Black Knights",23159,14381,20418,0,0,0,0,3
4,2033,100,0,0,"Memphis","MEM","Black Knights",15970,7854,25228,0,1,0,0,1
4,2034,100,0,0,"Memphis","MEM","Black Knights",20418,7854,24623,0,0,0,0,4
5,2018,100,0,2,"San Francisco","SF","Revolution",652,1381,2894,0,0,0,0,4
5,2019,100,0,2,"San Francisco","SF","Revolution",652,634,1399,0,0,0,0,2
5,2020,100,0,2,"San Francisco","SF","Revolution",652,634,1399,0,1,0,0,2
5,2021,100,0,2,"San Francisco","SF","Revolution",652,634,1399,0,0,0,0,3
5,2022,100,0,2,"San Francisco","SF","Revolution",652,634,7096,0,0,0,0,2
5,2023,100,0,2,"San Francisco","SF","Revolution",652,634,9370,0,0,0,0,3
5,2024,100,0,2,"San Francisco","SF","Revolution",6995,634,18007,0,0,0,0,4
5,2025,100,0,2,"San Francisco","SF","Revolution",6995,10109,9370,0,0,0,0,4
5,2026,100,0,2,"San Francisco","SF","Revolution",6995,10109,11812,0,0,0,0,3
5,2027,100,0,2,"San Francisco","SF","Revolution",6995,10265,7366,0,0,0,0,3
5,2028,100,0,2,"San Francisco","SF","Revolution",6995,4956,14388,0,0,0,0,4
5,2029,100,0,2,"San Francisco","SF","Revolution",6995,10187,12867,0,0,0,0,5
5,2030,100,0,2,"San Francisco","SF","Revolution",17724,14318,14388,0,0,0,0,5
5,2031,100,0,2,"San Francisco","SF","Revolution",17724,14318,11684,0,0,0,0,5
5,2032,100,0,2,"San Francisco","SF","Revolution",16084,19311,16084,0,0,0,0,5
5,2033,100,0,2,"San Francisco","SF","Revolution",16946,14318,18490,0,1,0,0,1
5,2034,100,0,2,"San Francisco","SF","Revolution",16084,19311,21026,0,1,0,0,1
