21020,145,104,6,0,40,44,78,19,2,47,81,38,41,75,19,2,47,80,43,54,88,19,2,49,84,52,47,117,55,3,47,78,96,23,0,0
21021,52,101,6,0,80,62,100,108,2,39,91,76,58,96,106,2,37,88,94,76,111,118,2,43,100,65,45,108,121,3,30,73,25,64,2,0
21022,0,0,1,11,23,31,6,10,0,11,63,25,34,6,10,0,11,69,17,22,5,9,0,9,46,26,28,6,30,1,11,58,62,3,1,0
21023,0,0,1,12,5,26,6,4,1,7,38,5,26,6,4,1,7,38,5,27,6,4,1,7,38,15,32,4,9,3,12,38,155,3,0,0
21024,0,0,1,12,19,30,4,11,1,6,43,18,29,4,10,1,6,41,21,34,5,11,1,7,49,41,31,10,53,3,13,72,133,2,2,0
21025,0,0,1,12,19,25,10,11,1,6,44,19,25,10,11,1,6,44,19,26,10,11,1,6,44,25,23,16,23,2,9,58,165,2,0,0
21026,5,100,1,12,41,29,29,43,1,21,76,40,28,29,43,1,21,75,44,31,32,43,1,21,79,40,28,33,46,3,18,73,188,1,0,0
21027,140,104,2,0,58,39,93,67,1,38,82,56,39,91,67,1,37,81,61,40,96,67,1,39,84,58,41,110,67,1,43,81,61,7,0,0
21028,134,104,7,0,44,54,41,34,5,29,82,44,54,41,34,5,29,82,44,54,41,34,5,29,82,65,43,100,83,7,54,79,52,15,0,0
21029,0,0,1,12,26,28,4,14,1,13,69,26,27,4,14,1,13,68,27,28,4,14,1,13,71,49,31,5,63,2,13,77,165,1,1,0
21030,14,100,1,11,27,29,11,15,1,13,71,30,32,12,15,1,14,77,20,23,9,13,1,11,53,27,27,8,22,2,12,64,107,2,2,0
21031,0,0,2,0,17,32,40,8,6,23,55,17,32,40,8,6,23,55,17,32,40,8,6,23,55,34,35,104,51,12,37,59,114,3,0,0
21032,0,0,2,12,27,29,33,15,5,23,69,27,28,32,15,5,23,68,29,31,37,15,5,24,73,31,43,108,31,8,31,66,117,14,1,0
21033,0,0,9,0,40,83,54,29,4,47,75,49,100,61,32,4,51,84,22,37,33,20,4,31,51,52,69,111,47,8,111,66,189,88,0,0
21034,118,103,3,0,58,104,42,71,4,27,83,66,116,47,74,4,27,89,36,64,29,58,4,22,66,65,93,104,78,7,74,78,23,41,1,0
21035,0,0,5,0,29,41,39,19,3,27,71,31,47,41,19,3,28,74,24,35,32,18,3,24,60,54,40,114,70,6,84,67,31,1,1,0
21036,0,0,1,12,1,33,14,3,1,5,10,1,32,13,3,1,5,10,1,35,15,3,1,5,10,3,35,28,6,2,2,5,161,9,0,0
21037,0,0,1,12,2,23,6,4,1,13,8,2,25,6,4,1,14,8,2,18,5,4,1,11,8,5,27,7,6,3,13,12,79,1,0,0
21038,0,0,1,12,4,27,3,2,0,7,54,4,26,3,2,0,7,52,5,30,3,2,0,7,59,21,28,6,11,1,12,50,41,1,1,0
