22644,2030,269,0,107,11,1,0,105,20,16,118,391,25,24,0,1,1,13,5,0,0,10,0,1,2,1,0,0,-0.3915,0,-0.5342
22644,2034,0,0,0,10,1,0,228,60,30,257,0,51,51,9,1,2,44,30,6,2,24,0,0,3,0,2,0,0.0000,0,0.3170
22645,2028,284,0,107,11,1,0,69,18,10,80,274,27,17,3,2,0,13,10,4,0,9,0,1,1,0,1,0,1.1496,0,0.3785
22645,2029,284,0,107,11,1,0,145,38,21,169,584,40,40,11,1,1,26,16,4,1,20,1,0,0,3,1,0,-0.0262,0,0.5920
22645,2030,284,0,107,11,1,0,151,35,14,179,572,40,40,9,4,0,20,18,10,2,22,1,0,2,2,2,0,0.6710,0,0.2971
22645,2031,284,0,107,11,1,0,134,33,18,157,534,34,34,3,3,0,21,18,2,2,19,0,0,0,1,3,0,-0.0263,0,0.3340
22645,2032,321,0,108,10,1,0,24,6,4,26,92,12,5,1,1,0,4,3,0,1,2,0,0,0,0,0,0,0.2567,0,0.0107
22645,2033,321,0,108,10,1,0,15,4,1,17,49,10,2,1,0,0,4,2,1,0,1,0,0,0,0,1,0,-0.0129,0,0.0698
22645,2034,321,0,108,10,1,0,79,23,6,86,312,26,17,4,0,0,15,11,2,1,7,0,0,0,0,0,0,1.2896,0,0.2370
22645,2034,321,0,108,10,3,0,44,14,5,48,0,20,9,1,0,0,8,7,0,0,4,0,0,0,0,0,0,0.0000,0,0.0000
22645,2034,321,0,108,10,2,0,35,9,1,38,0,16,8,3,0,0,7,4,0,0,3,0,0,0,0,0,0,0.0000,0,0.0000
22647,2028,267,0,107,11,1,0,119,27,8,132,401,32,30,5,2,1,15,21,2,1,9,0,1,1,3,0,0,-0.0780,0,-0.2100
22647,2029,267,0,107,11,1,0,154,50,18,171,560,40,40,5,3,1,23,27,3,3,16,0,3,1,0,0,0,0.3846,0,0.8646
22647,2030,267,0,107,11,1,0,158,46,14,175,559,40,40,6,0,0,27,26,6,0,15,0,1,1,1,0,0,0.7592,0,0.3254
22647,2034,0,0,0,10,1,0,285,73,48,313,0,62,62,9,2,5,63,38,35,5,27,0,0,0,0,1,0,0.0000,0,0.3680
22648,2030,282,0,107,11,1,0,4,2,1,4,13,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0529,0,0.0739
22650,2028,281,0,107,11,1,0,168,49,18,186,606,40,40,13,1,0,29,20,0,0,18,0,2,0,0,0,0,0.7745,0,0.8167
22650,2029,281,0,107,11,1,0,174,51,13,187,565,40,40,9,2,0,23,21,0,0,9,0,1,0,4,0,0,0.3764,0,0.3505
