team_id,year,league_id,sub_league_id,division_id,g,w,l,pos,pct,gb,streak,magic_number
1,2018,100,0,2,162,64,98,5,0.3951,51.0000,1,1000
1,2019,100,0,2,162,65,97,4,0.4012,33.0000,-4,1000
1,2020,100,0,2,162,78,84,3,0.4815,38.0000,4,1000
1,2021,100,0,2,162,60,102,5,0.3704,47.0000,1,1000
1,2022,100,0,2,162,70,92,4,0.4321,25.0000,1,1000
1,2023,100,0,2,162,75,87,4,0.4630,36.0000,1,1000
1,2024,100,0,2,162,72,90,5,0.4444,26.0000,-2,1000
1,2025,100,0,2,162,80,82,2,0.4938,1.0000,-1,1000
1,2026,100,0,2,162,68,94,5,0.4198,18.0000,-2,1000
1,2027,100,0,2,162,67,95,5,0.4136,38.0000,-1,1000
1,2028,100,0,2,162,79,83,3,0.4877,7.0000,2,1000
1,2029,100,0,2,162,82,80,3,0.5062,8.0000,-2,1000
1,2030,100,0,2,162,79,83,2,0.4877,12.0000,1,1000
1,2031,100,0,2,162,94,68,1,0.5802,0.0000,3,-5
1,2032,100,0,2,163,87,76,1,0.5337,0.0000,1,-1
1,2033,100,0,2,162,76,86,5,0.4691,11.0000,-1,1000
1,2034,100,0,2,162,82,80,3,0.5062,5.0000,2,1000
2,2018,100,0,0,162,88,74,2,0.5432,3.0000,2,1000
2,2019,100,0,0,162,73,89,5,0.4506,35.0000,-1,1000
2,2020,100,0,0,162,86,76,1,0.5309,0.0000,-2,-3
2,2021,100,0,0,162,72,90,4,0.4444,24.0000,-3,1000
2,2022,100,0,0,162,68,94,4,0.4198,38.0000,-1,1000
2,2023,100,0,0,162,77,85,3,0.4753,31.0000,-1,1000
2,2024,100,0,0,162,73,89,3,0.4506,29.0000,-1,1000
2,2025,100,0,0,162,96,66,2,0.5926,3.0000,2,1000
2,2026,100,0,0,162,69,93,4,0.4259,27.0000,-1,1000
2,2027,100,0,0,162,73,89,4,0.4506,23.0000,1,1000
2,2028,100,0,0,162,72,90,4,0.4444,21.0000,1,1000
2,2029,100,0,0,162,72,90,4,0.4444,26.0000,4,1000
2,2030,100,0,0,162,75,87,5,0.4630,32.0000,-4,1000
2,2031,100,0,0,162,80,82,3,0.4938,12.0000,1,1000
2,2032,100,0,0,162,73,89,4,0.4506,22.0000,-2,1000
2,2033,100,0,0,162,71,91,5,0.4383,18.0000,-2,1000
2,2034,100,0,0,162,81,81,2,0.5000,8.0000,-1,1000
3,2018,100,0,2,162,86,76,2,0.5309,29.0000,-1,1000
3,2019,100,0,2,162,77,85,3,0.4753,21.0000,-1,1000
3,2020,100,0,2,162,67,95,4,0.4136,49.0000,-4,1000
3,2021,100,0,2,162,86,76,2,0.5309,21.0000,-1,1000
3,2022,100,0,2,162,76,86,3,0.4691,19.0000,1,1000
3,2023,100,0,2,162,70,92,5,0.4321,41.0000,-5,1000
3,2024,100,0,2,162,80,82,3,0.4938,18.0000,2,1000
3,2025,100,0,2,162,78,84,5,0.4815,3.0000,-1,1000
3,2026,100,0,2,162,85,77,2,0.5247,1.0000,-1,1000
3,2027,100,0,2,162,73,89,4,0.4506,32.0000,2,1000
3,2028,100,0,2,162,69,93,5,0.4259,17.0000,-2,1000
3,2029,100,0,2,162,85,77,2,0.5247,5.0000,2,1000
3,2030,100,0,2,162,77,85,3,0.4753,14.0000,-1,1000
3,2031,100,0,2,162,62,100,4,0.3827,32.0000,-4,1000
3,2032,100,0,2,162,85,77,3,0.5247,1.5000,5,1000
3,2033,100,0,2,162,77,85,3,0.4753,10.0000,1,1000
3,2034,100,0,2,162,83,79,2,0.5123,4.0000,1,1000
4,2018,100,0,0,162,91,71,1,0.5617,0.0000,4,-2
4,2019,100,0,0,162,89,73,2,0.5494,19.0000,-3,1000
4,2020,100,0,0,162,80,82,3,0.4938,6.0000,-1,1000
4,2021,100,0,0,162,88,74,3,0.5432,8.0000,1,1000
4,2022,100,0,0,162,74,88,3,0.4568,32.0000,-1,1000
4,2023,100,0,0,162,59,103,4,0.3642,49.0000,-3,1000
4,2024,100,0,0,162,66,96,5,0.4074,36.0000,-1,1000
4,2025,100,0,0,162,77,85,4,0.4753,22.0000,1,1000
4,2026,100,0,0,162,75,87,3,0.4630,21.0000,1,1000
4,2027,100,0,0,163,90,73,2,0.5521,6.5000,1,1000
4,2028,100,0,0,162,80,82,3,0.4938,13.0000,-5,1000
4,2029,100,0,0,162,86,76,2,0.5309,12.0000,-2,1000
4,2030,100,0,0,162,80,82,3,0.4938,27.0000,1,1000
4,2031,100,0,0,162,75,87,4,0.4630,17.0000,-1,1000
4,2032,100,0,0,162,73,89,3,0.4506,22.0000,-3,1000
4,2033,100,0,0,162,89,73,1,0.5494,0.0000,-1,-6
4,2034,100,0,0,162,80,82,4,0.4938,9.0000,1,1000
5,2018,100,0,2,162,68,94,4,0.4198,47.0000,-1,1000
5,2019,100,0,2,162,84,78,2,0.5185,14.0000,1,1000
5,2020,100,0,2,162,86,76,2,0.5309,30.0000,-2,1000
5,2021,100,0,2,162,80,82,3,0.4938,27.0000,-1,1000
5,2022,100,0,2,162,77,85,2,0.4753,18.0000,-1,1000
5,2023,100,0,2,162,77,85,3,0.4753,34.0000,3,1000
5,2024,100,0,2,162,76,86,4,0.4691,22.0000,-2,1000
5,2025,100,0,2,162,79,83,4,0.4877,2.0000,1,1000
5,2026,100,0,2,162,81,81,3,0.5000,5.0000,1,1000
5,2027,100,0,2,162,78,84,3,0.4815,27.0000,1,1000
5,2028,100,0,2,162,73,89,4,0.4506,13.0000,3,1000
5,2029,100,0,2,162,63,99,5,0.3889,27.0000,-1,1000
5,2030,100,0,2,162,66,96,5,0.4074,25.0000,-1,1000
5,2031,100,0,2,162,57,105,5,0.3519,37.0000,-1,1000
5,2032,100,0,2,162,68,94,5,0.4198,18.5000,-1,1000
5,2033,100,0,2,162,87,75,1,0.5370,0.0000,2,-6
5,2034,100,0,2,162,87,75,1,0.5370,0.0000,1,-3
6,2018,100,0,2,162,70,92,3,0.4321,45.0000,1,1000
6,2019,100,0,2,162,55,107,5,0.3395,43.0000,1,1000
6,2020,100,0,2,162,67,95,5,0.4136,49.0000,2,1000
6,2021,100,0,2,162,73,89,4,0.4506,34.0000,-1,1000
6,2022,100,0,2,162,69,93,5,0.4259,26.0000,1,1000
6,2023,100,0,2,162,84,78,2,0.5185,27.0000,-1,1000
6,2024,100,0,2,162,98,64,1,0.6049,0.0000,-3,-9
6,2025,100,0,2,162,81,81,1,0.5000,0.0000,3,0
6,2026,100,0,2,162,86,76,1,0.5309,0.0000,2,0
6,2027,100,0,2,163,89,74,2,0.5460,16.5000,-2,1000
6,2028,100,0,2,162,83,79,2,0.5123,3.0000,2,1000
6,2029,100,0,2,162,68,94,4,0.4198,22.0000,1,1000
6,2030,100,0,2,162,69,93,4,0.4259,22.0000,1,1000
6,2031,100,0,2,162,78,84,3,0.4815,16.0000,1,1000
6,2032,100,0,2,163,86,77,2,0.5276,1.0000,-4,1000
6,2033,100,0,2,162,80,82,2,0.4938,7.0000,1,1000
6,2034,100,0,2,162,66,96,5,0.4074,21.0000,-1,1000
7,2018,100,0,1,162,67,95,4,0.4136,38.0000,-1,1000
7,2019,100,0,1,162,71,91,5,0.4383,21.0000,-2,1000
7,2020,100,0,1,162,59,103,5,0.3642,38.0000,-2,1000
7,2021,100,0,1,162,60,102,5,0.3704,43.0000,-1,1000
7,2022,100,0,1,162,61,101,5,0.3765,52.0000,-4,1000
7,2023,100,0,1,162,66,96,5,0.4074,41.0000,-1,1000
7,2024,100,0,1,162,72,90,4,0.4444,25.0000,3,1000
7,2025,100,0,1,162,69,93,5,0.4259,19.0000,-4,1000
7,2026,100,0,1,162,75,87,5,0.4630,27.0000,5,1000
7,2027,100,0,1,162,69,93,4,0.4259,23.0000,-1,1000
7,2028,100,0,1,162,94,68,1,0.5802,0.0000,1,-3
7,2029,100,0,1,162,87,75,2,0.5370,14.0000,4,1000
7,2030,100,0,1,162,86,76,1,0.5309,0.0000,3,0
7,2031,100,0,1,162,78,84,4,0.4815,15.0000,3,1000
7,2032,100,0,1,162,74,88,4,0.4568,24.0000,1,1000
7,2033,100,0,1,162,94,68,1,0.5802,0.0000,-2,-5
7,2034,100,0,1,162,90,72,2,0.5556,2.0000,-2,1000
8,2018,100,0,2,162,115,47,1,0.7099,0.0000,1,-28
8,2019,100,0,2,162,98,64,1,0.6049,0.0000,4,-13
8,2020,100,0,2,162,116,46,1,0.7160,0.0000,-1,-29
8,2021,100,0,2,162,107,55,1,0.6605,0.0000,1,-20
8,2022,100,0,2,162,95,67,1,0.5864,0.0000,-1,-17
8,2023,100,0,2,162,111,51,1,0.6852,0.0000,-1,-26
8,2024,100,0,2,162,88,74,2,0.5432,10.0000,3,1000
8,2025,100,0,2,162,79,83,3,0.4877,2.0000,-3,1000
8,2026,100,0,2,162,79,83,4,0.4877,7.0000,-4,1000
8,2027,100,0,2,162,105,57,1,0.6481,0.0000,1,-16
8,2028,100,0,2,162,86,76,1,0.5309,0.0000,-3,-2
8,2029,100,0,2,162,90,72,1,0.5556,0.0000,-5,-4
8,2030,100,0,2,162,91,71,1,0.5617,0.0000,1,-11
8,2031,100,0,2,162,88,74,2,0.5432,6.0000,5,1000
8,2032,100,0,2,162,68,94,4,0.4198,18.5000,1,1000
8,2033,100,0,2,162,77,85,4,0.4753,10.0000,-2,1000
8,2034,100,0,2,162,72,90,4,0.4444,15.0000,-2,1000
9,2018,100,0,1,162,93,69,2,0.5741,12.0000,-3,1000
9,2019,100,0,1,162,77,85,4,0.4753,15.0000,2,1000
9,2020,100,0,1,162,78,84,3,0.4815,19.0000,-1,1000
9,2021,100,0,1,162,85,77,2,0.5247,18.0000,-3,1000
9,2022,100,0,1,163,89,74,3,0.5460,24.5000,-2,1000
9,2023,100,0,1,162,77,85,4,0.4753,30.0000,1,1000
9,2024,100,0,1,162,80,82,3,0.4938,17.0000,1,1000
9,2025,100,0,1,162,73,89,4,0.4506,15.0000,-3,1000
9,2026,100,0,1,162,81,81,4,0.5000,21.0000,-1,1000
9,2027,100,0,1,162,68,94,5,0.4198,24.0000,-1,1000
9,2028,100,0,1,162,73,89,5,0.4506,21.0000,-2,1000
9,2029,100,0,1,162,57,105,5,0.3519,44.0000,-4,1000
9,2030,100,0,1,162,64,98,5,0.3951,22.0000,-1,1000
9,2031,100,0,1,162,85,77,3,0.5247,8.0000,-1,1000
9,2032,100,0,1,162,82,80,3,0.5062,16.0000,3,1000
9,2033,100,0,1,162,88,74,2,0.5432,6.0000,1,1000
9,2034,100,0,1,162,92,70,1,0.5679,0.0000,2,-1
10,2018,100,0,1,162,105,57,1,0.6481,0.0000,1,-11
10,2019,100,0,1,162,88,74,2,0.5432,4.0000,-4,1000
10,2020,100,0,1,162,90,72,2,0.5556,7.0000,3,1000
10,2021,100,0,1,162,82,80,3,0.5062,21.0000,1,1000
